Name,Gender,LastLetter,LastTwoLetter,FirstLetter
Vaidyanaath,1,h,th,V
Chhabi,2,i,bi,C
Nitima,2,a,ma,N
Fahad,1,d,ad,F
Adityavardhana,1,a,na,A
Manvik,1,k,ik,M
Punyasloka,1,a,ka,P
Chitrani,2,i,ni,C
Meghdutt,1,t,tt,M
Paramhansa,1,a,sa,P
Bitasok,1,k,ok,B
Snigdha,2,a,ha,S
Puja,2,a,ja,P
Bandhul,1,l,ul,B
Neeti,2,i,ti,N
Niraj,1,j,aj,N
Chemmal,1,l,al,C
Punarnava,2,a,va,P
Naina,2,a,na,N
Bikram,1,m,am,B
Anugya,1,a,ya,A
Dhritiman,1,n,an,D
Takshak,1,k,ak,T
Balachandrav,1,v,av,B
Triparna,2,a,na,T
Tanaya,2,a,ya,T
Nishi,2,i,hi,N
Kanchana,2,a,na,K
Baijayanthi,2,i,hi,B
Devajyoti,1,i,ti,D
Narahari,1,i,ri,N
Udiramalara,2,a,ra,U
Jinendra,1,a,ra,J
Rohana,2,a,na,R
Debanshi,2,i,hi,D
Shubhashis,1,s,is,S
Suhitha,2,a,ha,S
Hasumati,2,i,ti,H
Champakmala,2,a,la,C
Tejomay,1,y,ay,T
Sudhi,1,i,hi,S
Manish,1,h,sh,M
Maina,2,a,na,M
Madanapal,1,l,al,M
Vanhi,2,i,hi,V
Achala,2,a,la,A
Vibhu,1,u,hu,V
Cyril,1,l,il,C
Indrasuta,1,a,ta,I
Pramiti,2,i,ti,P
Manikuntala,2,a,la,M
Nabhomani,1,i,ni,N
Nakshatra,2,a,ra,N
Rajata,2,a,ta,R
Mallikarjuna,1,a,na,M
Pritilata,2,a,ta,P
Sagari,2,i,ri,S
Navadurga,2,a,ga,N
Wajid,1,d,id,W
Muthunagai,2,i,ai,M
Pravar,1,r,ar,P
Abhyagni,1,i,ni,A
Rukma,2,a,ma,R
Kapalini,2,i,ni,K
Ishrat,1,t,at,I
Vipula,2,a,la,V
Vipul,1,l,ul,V
Rajnish,1,h,sh,R
Tehzeeb,2,b,eb,T
Subhashini,2,i,ni,S
Mustafa,1,a,fa,M
Pallav,1,v,av,P
Swarnalata,2,a,ta,S
Sujay,1,y,ay,S
Vibhuti,2,i,ti,V
Ekadhana,2,a,na,E
Someshwar,1,r,ar,S
Devang,1,g,ng,D
Hammad,1,d,ad,H
Shivshankar,1,r,ar,S
Pravir,1,r,ir,P
Panduranga,1,a,ga,P
Gulzarilal,1,l,al,G
Chandrakirthi,1,i,hi,C
Bhavini,2,i,ni,B
Triguni,2,i,ni,T
Deeptendu,1,u,du,D
Martanda,1,a,da,M
Ranhitha,2,a,ha,R
Anjum,1,m,um,A
Satyaprakash,1,h,sh,S
Hurditya,1,a,ya,H
